driverId,week,hours-logged,miles-logged
193,6,70,1200
31,46,67,2200
615,4,76,2500
396,40,74,500
197,18,63,400
317,4,67,2000
322,46,62,3000
874,31,54,3300
680,41,50,2700
91,2,67,3200
869,12,63,3600
424,36,61,700
876,17,64,800
287,48,56,1900
718,23,54,700
891,14,51,1100
355,41,72,2400
739,27,69,2300
505,23,62,2600
964,32,66,3800
589,16,71,100
646,42,66,700
415,46,65,3400
794,42,50,0
475,10,58,3200
836,10,69,1100
201,36,62,1100
488,3,61,1800
178,31,66,1300
777,24,53,0
313,4,64,2900
522,28,79,800
899,8,72,4000
114,6,63,400
826,45,50,4000
871,10,57,3300
883,46,55,3400
943,11,62,700
882,13,50,3900
672,1,54,3900
732,2,73,400
675,41,76,300
197,28,68,3300
179,24,63,800
834,36,56,1200
100,3,73,900
351,18,80,1300
422,38,58,3000
96,49,52,2800
206,32,68,3900
542,18,55,600
615,38,76,2200
838,41,69,1900
147,25,75,2500
200,39,59,1400
391,27,60,1000
352,22,56,3800
443,1,67,3900
554,8,54,2500
689,44,54,1800
599,50,69,1500
127,28,66,100
619,36,71,3500
606,47,65,300
467,43,64,3500
260,45,73,900
685,21,67,2300
262,36,67,2300
500,41,56,700
59,19,63,1800
938,29,62,2400
507,5,50,3600
310,41,58,2600
628,39,77,1800
446,30,77,1500
106,39,62,2000
786,43,68,900
104,21,67,100
698,13,53,3000
188,42,69,1600
318,2,66,2900
452,4,77,3400
790,30,65,3600
697,2,59,1300
648,42,64,700
292,6,74,2400
562,45,54,2800
126,28,65,3800
48,45,58,1000
803,11,80,3000
906,26,53,800
641,18,74,2100
877,27,77,2600
711,12,80,2700
131,36,76,3400
470,17,75,3400
510,37,70,4000
901,36,63,2900
581,28,62,2400
17,50,66,3600
526,13,71,3900
775,49,52,1400
528,10,70,300
176,42,73,1700
149,21,68,1200
210,27,77,800
569,48,57,1800
438,34,60,1300
675,51,63,1800
445,42,73,1800
298,12,61,500
857,38,71,2900
19,52,62,1100
360,8,64,900
859,9,69,3000
22,8,59,3000
890,28,77,3800
961,34,80,2200
91,32,74,800
599,2,55,4000
330,23,76,2600
611,44,50,2200
364,27,59,3300
540,6,80,3800
275,30,80,600
627,16,70,3900
926,17,51,2100
105,41,61,1600
664,42,73,1200
608,42,76,3500
1001,39,54,800
469,39,57,3700
329,29,75,800
705,7,73,600
197,27,75,1400
302,28,50,800
986,12,62,1000
923,32,72,200
322,52,72,1700
37,28,68,1400
918,17,74,400
938,17,78,500
774,16,60,3000
243,25,53,2700
699,19,53,3100
954,30,53,3600
496,50,69,2400
98,5,69,2100
1007,27,63,1000
370,27,55,600
950,51,64,3500
350,33,56,1600
701,6,62,500
607,5,67,1300
983,23,66,3300
303,47,58,200
113,6,72,900
461,49,53,0
686,52,67,3800
422,42,53,2800
272,22,67,1700
143,39,74,2100
950,26,64,3300
757,40,62,1500
196,26,55,2000
386,9,76,1100
225,44,73,1400
682,16,61,3400
914,37,78,3200
44,11,70,2800
1007,48,67,1300
815,15,58,2800
485,47,68,800
645,39,60,1000
588,19,62,2700
832,28,69,3100
38,4,72,2800
451,47,54,3700
71,27,61,3600
905,46,53,1000
228,47,67,1300
952,41,80,2900
208,1,71,2900
866,18,59,3700
838,15,60,4000
729,26,61,700
729,14,69,3700
446,7,58,3000
144,28,73,2500
695,45,76,900
493,43,61,3300
312,1,59,2600
703,14,61,2900
13,32,58,2200
636,30,65,100
243,2,80,3800
67,19,77,2600
961,50,63,600
791,36,60,1000
801,27,67,2900
587,18,60,700
482,47,70,500
974,26,74,1800
873,25,50,1900
407,23,61,600
447,11,63,1200
162,21,74,2100
657,26,62,1100
981,25,76,1100
53,1,76,3700
678,49,75,1300
520,42,78,100
793,20,68,3800
356,52,73,2100
652,17,65,1800
905,7,67,3500
193,44,59,3600
276,34,62,1000
402,12,67,1800
415,42,52,1400
911,8,60,3100
725,13,72,3100
943,10,56,1900
615,17,61,3700
547,22,62,400
294,32,62,2900
602,25,62,3200
467,39,71,200
553,33,79,2700
940,47,54,2400
389,28,51,1900
232,44,65,2400
628,32,60,3500
899,27,55,1600
821,6,64,2100
